,Name,Price,Link,Rating,Total Reviews,Description
10,Lenovo ThinkPad E15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"₹60,990",https://www.flipkart.com/lenovo-thinkpad-e15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-laptop/p/itm55c46691fa99f?pid=COMGF42GESHU6AYQ&lid=LSTCOMGF42GESHU6AYQOOXKJ3&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMGF42GESHU6AYQ.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,5,6 Ratings & 0 Reviews,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD39.62 cm (15.6 inches) DisplayMicrosoft Office Home & Student 20191 Year Onsite Warranty
11,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graph...,"₹61,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-4600h-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-15arh05-laptop/p/itm8cc53c2585ee9?pid=COMFUGF8HUXGJK5B&lid=LSTCOMFUGF8HUXGJK5B42DYUS&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFUGF8HUXGJK5B.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.5,"1,196 Ratings & 179 Reviews",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
12,Lenovo ThinkPad E14 Gen2 Ryzen 5 Hexa Core 4650U 5th Gen - (8 GB/256 GB SSD/Windows 10 Home) E14 Lapto...,"₹49,990",https://www.flipkart.com/lenovo-thinkpad-e14-gen2-ryzen-5-hexa-core-4650u-5th-gen-8-gb-256-gb-ssd-windows-10-home-laptop/p/itma57c02bad3347?pid=COMG28FUNHEKGFYT&lid=LSTCOMG28FUNHEKGFYTFU52TM&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMG28FUNHEKGFYT.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.5,4 Ratings & 0 Reviews,AMD Ryzen 5 Hexa Core Processor (5th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 Inches) DisplayMicrosoft Office Home & Student 20191 Year Onsite Warranty
13,Lenovo Yoga 6 Ryzen 7 Octa Core 4700U - (16 GB/512 GB SSD/Windows 10 Home) 13ARE05 2 in 1 Laptop,"₹78,990",https://www.flipkart.com/lenovo-yoga-6-ryzen-7-octa-core-4700u-16-gb-512-gb-ssd-windows-10-home-13are05-2-1-laptop/p/itm941e3a7091672?pid=COMGYZQTEEDZ9J3R&lid=LSTCOMGYZQTEEDZ9J3REQLRNW&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=en_XlXmCOBgAwdWhPaamUGsmawr%2BTt%2Blz1d%2FK8D2hnbFyZuGehyk%2FBFbBwuy74fBzeBEnqt2te6oelGHqEmTppdNQ%3D%3D&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.7,6 Ratings & 1 Reviews,AMD Ryzen 7 Octa Core Processor16 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD33.78 cm (13.3 inches) Touchscreen DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
14,Lenovo IdeaPad 3 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14IIL05 Thin and Light Laptop,"₹34,990",https://www.flipkart.com/lenovo-ideapad-3-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-14iil05-thin-light-laptop/p/itmb060ed803a9af?pid=COMGFQEWVYEXFHGS&lid=LSTCOMGFQEWVYEXFHGS4WW4VI&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMGFQEWVYEXFHGS.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,5,6 Ratings & 0 Reviews,Intel Core i3 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
15,Lenovo Ideapad Slim 5i Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL05 Thin and Light Lap...,"₹58,990",https://www.flipkart.com/lenovo-ideapad-slim-5i-core-i5-11th-gen-8-gb-512-gb-ssd-windows-10-home-14itl05-thin-light-laptop/p/itm1fa0b950c3b53?pid=COMGFAZTTWKAJHV3&lid=LSTCOMGFAZTTWKAJHV3JQAZOO&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMGFAZTTWKAJHV3.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.9,7 Ratings & 1 Reviews,Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System512 GB SSD35.56 cm (14 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
16,Lenovo Ideapad 3 Athlon Dual Core 3050U - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop,"₹27,990",https://www.flipkart.com/lenovo-ideapad-3-athlon-dual-core-3050u-4-gb-1-tb-hdd-windows-10-home-15ada05-laptop/p/itmc594fe613c990?pid=COMFTPG2XHWE6BYW&lid=LSTCOMFTPG2XHWE6BYW2KZ1HN&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFTPG2XHWE6BYW.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4,"1,146 Ratings & 159 Reviews",AMD Athlon Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
17,Lenovo IdeaPad Gaming 3i Core i7 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,"₹72,990",https://www.flipkart.com/lenovo-ideapad-gaming-3i-core-i7-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-15imh05d-laptop/p/itm965d39f0f4e97?pid=COMFSYCZJDGWSXNG&lid=LSTCOMFSYCZJDGWSXNGTMDJOC&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFSYCZJDGWSXNG.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.3,630 Ratings & 107 Reviews,Intel Core i7 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
18,Lenovo IdeaPad Gaming 3i Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NV...,"₹61,990",https://www.flipkart.com/lenovo-ideapad-gaming-3i-core-i5-10th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-ti-60-hz-15imh05-laptop/p/itma6edb098a1efd?pid=COMFSYCZAGGEFBV9&lid=LSTCOMFSYCZAGGEFBV9S4E6L0&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&spotlightTagId=BestvalueId_6bo%2Fb5g&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=1a9f0313-4a34-47d8-ab64-b64ab9dd9b00.COMFSYCZAGGEFBV9.SEARCH&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,4.5,772 Ratings & 107 Reviews,Intel Core i5 Processor (10th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD|256 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Warranty
19,Lenovo Ideapad 3 Ryzen 3 Dual Core 3250U - (4 GB/1 TB HDD/Windows 10 Home) 15ADA05 Laptop,"₹28,990",https://www.flipkart.com/lenovo-ideapad-3-ryzen-dual-core-3250u-4-gb-1-tb-hdd-windows-10-home-15ada05-laptop/p/itm434f402be1c77?pid=COMFS9YWGFHEFV4C&lid=LSTCOMFS9YWGFHEFV4CDXFP8N&marketplace=FLIPKART&q=lenovo_laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_6_na_na_ps&fm=organic&iid=en_XlXmCOBgAwdWhPaamUGsmawr%2BTt%2Blz1d%2FK8D2hnbFyY%2BcNGjAiIT1Go1VXzPSIwij6TFuBIXGzUGGhcJFF5HdQ%3D%3D&ppt=None&ppn=None&ssid=vwn3i5zl5s0000001620281264699&qH=45f6477cda3fea9f,3.7,111 Ratings & 20 Reviews,AMD Ryzen 3 Dual Core Processor4 GB DDR4 RAM64 bit Windows 10 Operating System1 TB HDD39.62 cm (15.6 inch) DisplayMicrosoft Office Home and Student 20191 Year Onsite Warranty
